2022-01-02,New Year with the Same Old Life Until Real Transformation,Judges 21:13-25
2022-01-09,How the Light Traveled Through the Darkness,Ruth 1:1-22
2022-01-16,Ruth Meets Boaz (Part 1),Ruth 2:1-13; Matthew 1:1-6
2022-01-23,Ruth Meets Boaz (Part 2),Ruth 2:14-23
2022-02-06,Trustworthy Redeemer,Ruth 3:1-18
2022-02-13,The Great Turnaround,Ruth 4:1-22
2022-02-27,The Exact Representation of His Being (Part 1),Hebrews 1:1-14
2022-03-06,The Exact Representation of His Being (Part 2),Hebrews 1:1-14
2022-03-13,The Exact Representation of His Being (Part 3),Hebrews 1:1-14
2022-03-20,Made Lower Than The Angels,Hebrews 2:1-9
2022-03-27,With Jesus into the Family of God,Hebrews 2:10-18
2021-01-03,Paul's Example as a Servant of the Gospel (Part 1),Colossians 1:24-2:5
2021-01-10,Paul's Example as a Servant of the Gospel (Part 2),Colossians 1:24-2:5
2021-01-17,Continue to Live in Him,Colossians 2:6-7
2021-01-24,What to Reject & What to Receive,Colossians 2:8-10
2021-01-31,The Circumcision Done By Christ,Colossians 2:11-15
2021-02-07,Living in the Reality Not in a Shadow,Colossians 2:16-23
2021-02-14,What is Your Heart Set On?,Colossians 3:1-4
2021-02-21,What to Put Off for the New Life,Colossians 3:5-11
2021-02-28,What to Put On for the New Life (Part 1),Colossians 3:12-17
2021-03-07,What to Put On for the New Life (Part 2),Colossians 3:12-17
2021-03-14,The Disciple's Family Relations,Colossians 3:18-21
2021-03-21,Prerequisite For All Human Relationships,Colossians 3:22-4:1
2021-03-28,Communication with God and People,Colossians 4:2-6
2021-04-04,Paul's Coworkers,Colossians 4:7-18
2021-04-11,Introduction to Judges: A Shaky Start (Part 1),Judges 1:1-36
2021-04-18,Introduction to Judges: A Shaky Start (Part 2),Judges 1:1-36
2021-04-25,Israel's Spiritual Condition,Judges 2:1-5
2021-05-02,New Generation Degeneration (Part 1),Judges 2:6-15
2021-05-09,New Generation Degeneration (Part 2),Judges 2:6-15
2021-05-16,Life in the Land or Life with the Lord,Judges 2:16-23
2021-05-23,Learn to Live in a War Zone,Judges 3:1-6
2021-05-30,Serving Something Else Than the Lord,Judges 3:7-11
2021-06-06,What Does God Use in His Operation and How?,Judges 3:12-31
2021-06-13,My Story in God's Story,Judges 4:1-24
2021-06-20,The Hymn of Victory (Part 1),Judges 5:1-18
2021-06-27,The Hymn of Victory (Part 2),Judges 5:19-31
2021-07-04,But You Have Not Listened to Me,Judges 6:1-10
2021-07-11,Gideon An Unlikely Warrior (Part 1),Judges 6:11-24
2021-07-18,Gideon An Unlikely Warrior (Part 2),Judges 6:25-40
2021-07-25,Fighting Under the Command of the LORD (Part 1),Judges 7:1-15
2021-08-01,Fighting Under the Command of the LORD (Part 2),Judges 7:16-25
2021-08-08,Through Inner Conflicts,Judges 8:1-21
2021-08-15,Heroic Act But Hardly Heroic Life,Judges 8:22-35
2021-08-22,Hwang Lee's Testimony,N/A
,Judy Kim's Testimony ,N/A
2021-08-29,Hurt People Hurt People in the World of Baals,Judges 9:1-21
2021-09-05,The Implosion,Judges 9:22-57
2021-09-12,In the Intersection of God's Story and Man's Story,Judges 10:1-18
2021-09-19,The Recruitment of Jephthah,Judges 11:1-11
2021-09-26,Victory in a Fragmented Life,Judges 11:12-40
2021-10-03,Long Story Short,Judges 12:1-15
2021-10-10,Give Thanks For Everything If Not Despite Everything,1 Thessalonians 5:18
2021-10-17,Samson A Good Start,Judges 13:1-25
2021-10-24,Samson the Lawless Judge,Judges 14:1-20
2021-10-31,Fighting the Same Fight but for a Personal Reason,Judges 15:1-20
2021-11-07,A Judge Who was Captive to Women,Judges 16:1-31
2021-11-14,In the Absence of a King and Laws,Judges 17:1-13
2021-11-21,A Dark Tale of the Danites,Judges 18:1-31
2021-11-28,A Dark Night in Gibeah A Dark Hour in Israel's History,Judges 19:1-30
2021-12-05,War Between God's People (Part 1),Judges 20:1-18
2021-12-12,War Between God's People (Part 2),Judges 20:19-48
2021-12-19,,N/A
2021-12-26,For a Simple and Bright Life,Judges 21:1-12
2020-01-05,Vision of Exceeding Wisdom,Proverbs 30:24-28
2020-01-12,Mother's Warnings,Proverbs 31:1-9
2020-01-19,Married to a Wife of Noble Character (Part I),Proverbs 31:10-20
2020-01-26,Married to a Wife of Noble Character (Part II),Proverbs 31:21-31
2020-02-09,Honest Faith,1 John 1:5-10
2020-02-16,Jesus Our Advocate and Atoning Sacrifice,1 John 2:1-2
2020-02-23,Test of Intimacy,1 John 2:3-6
2020-03-01,Old Command New Heart,1 John 2:7-11
2020-03-08,John's Recipients,1 John 2:12-14
2020-03-15,Between My Father and This World,1 John 2:15-17
2020-03-22,Who are Antichrists?,1 John 2:18-23
2020-03-29,Know the First Message and Keep It,1 John 2:24-27
2020-04-05,Best Life is Best Preparation (Part 1),1 John 2:28-3:10
2020-04-12,Best Life is Best Preparation (Part 2),1 John 2:28-3:10
2020-04-19,Love One Another as God Intended (Part 1),1 John 3:11-18
2020-04-26,Love One Another as God Intended (Part 2),1 John 3:11-18
2020-05-03,How to be a Confident Disciple Before God Man and Yourself,1 John 3:19-24
2020-05-10,Do Not Believe What You Want to Believe,1 John 4:1-6
2020-05-17,DO THE LOVE THAT CAME FROM GOD,1 John 4:7-12
2020-05-24,Love Realm of God,1 John 4:13-16
2020-05-31,What Kind of Love Drives Out What Kind of Fear?,1 John 4:17-19
2020-06-07,I LOVE YOU BECAUSE I LOVE YOUR FATHER,1 John 4:20-5:5
2020-06-14,According to God's Testimony,1 John 5:6-12
2020-06-21,Assurance of Salvation & Prayer,1 John 5:13-17
2020-06-28,Love Keep Away From Idols,1 John 5:18-21
2020-07-05,Worthy of Such a Letter,1 Peter 1:1-2
2020-07-12,Hope Based Joy,1 Peter 1:3-9
2020-07-19,Understand Your Salvation,1 Peter 1:10-16
2020-07-26,The Salvation Christ Paid For,1 Peter 1:17-21
2020-08-02,William Claros ,
,James Shin,
,Abby Ding,
2020-08-09,Born of Imperishable Seed,1 Peter 1:22-25
2020-08-16,Grow Up in Your Salvation,1 Peter 2:1-3
2020-08-23,My Relationship with the Living Stone,1 Peter 2:4-10
2020-08-30,Different Identity Different Life,1 Peter 2:11-12
2020-09-06,Aliens Under the Government of this World,1 Peter 2:13-17
2020-09-13,How to Properly Suffer,1 Peter 2:18-25
2020-09-20,Husbands & Wives as Aliens and Strangers in the World,1 Peter 3:1-7
2020-09-27,Is Persecution Real in My Life (Part 1),1 Peter 3:8-22
2020-10-04,Is Persecution Real in My Life (Part 2),1 Peter 3:8-22
2020-10-11,Suffer in Your Body and Do God's Will,1 Peter 4:1-6
2020-10-18,To Serve or Not to Serve,1 Peter 4:7-11
2020-10-25,,
2020-11-01,,
2020-11-08,,
2020-11-15,Stand Firm (Part 1),1 Peter 5:8-14
2020-11-22,Stand Firm (Part 2),1 Peter 5:8-14
2020-11-29,,Colossians 1:1-8
2020-12-06,,
2020-12-13,The Supremacy of Christ (Part 1),Colossians 1:15-20
2020-12-20,The Supremacy of Christ (Part 2),Colossians 1:15-20
2020-12-27,Reconciliation by Christ,Colossians 1:21-23
2019-01-06,Fantasy chaser,Proverbs 12: 11- 15
2019-01-13,How to handle untruthful words and speak truthful ones ,Proverbs 12:16-26
2019-01-20,How to live a godly life in the world of man ,Proverbs 13:1-6
2019-01-27,Simple life wise life ,Proverbs 13:7-12
2019-02-03,Pay for it!,Proverbs 13:13-25
2019-02-10,How to find wisdom ,Proverbs 14:1-13
2019-02-17,Faith life and emotional life ,Proverbs 14:14-20
2019-02-24,Wisdom in speech ,Proverbs 15:1-7
2019-03-03,Our heart is the issue ,Proverbs 15:8-14
2019-03-10,Erica Kim's testimony sharing ,
,Jenny Kim's testimony sharing ,
2019-03-17,Rosie Han's testimony sharing ,
,Josiah Kim's testimony sharing ,
2019-03-24,Joy of wise communication ,Proverbs 15:23-33
2019-03-31,The best planner ,Proverbs 16:1-9
2019-04-07,Haughty spirit vs lowly spirit ,Proverbs 16:18-19
2019-04-14,How to Honour Everyone,Proverbs 17:5-16
2019-04-21,Most pitied almost,1 Corinthians 15:1-20
2019-04-28,GOLDEN WORD GOLDEN SILENCE,Proverbs 17:27-28
2019-05-05,PLEASURE OF WISE WORDS AND PAIN OF FOOLISH WORDS,Proverbs 18:4-9
